	ARG0	ARG1	ARG1-DSP	ARG2	ARG3	ARG4	ARG5	ARGA	ARGM-ADJ	ARGM-ADV	ARGM-CAU	ARGM-COM	ARGM-CXN	ARGM-DIR	ARGM-DIS	ARGM-EXT	ARGM-GOL	ARGM-LOC	ARGM-LVB	ARGM-MNR	ARGM-MOD	ARGM-NEG	ARGM-PRD	ARGM-PRP	ARGM-PRR	ARGM-TMP	C-ARG0	C-ARG1	C-ARG1-DSP	C-ARG2	C-ARG3	C-ARGM-CXN	C-ARGM-LOC	C-V	O	R-ARG0	R-ARG1	R-ARG2	R-ARGM-ADV	R-ARGM-DIR	R-ARGM-LOC	R-ARGM-MNR	R-ARGM-TMP	V
ARG0	1440	90	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	1	0	0	0	0	0	0	0	1
ARG1	89	2701	0	68	0	0	0	0	3	1	0	0	0	0	1	2	0	12	0	5	0	1	0	1	0	7	0	0	0	0	0	0	0	0	338	0	6	0	0	0	0	0	0	0
ARG1-DSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ARG2	15	160	0	740	0	0	0	0	6	0	0	0	0	4	0	0	0	17	0	5	0	0	0	9	0	6	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	2
ARG3	1	18	0	32	0	0	0	0	0	1	0	0	0	2	0	0	0	4	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ARG4	0	2	0	33	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ARG5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGM-ADJ	2	11	0	1	0	0	0	0	152	0	0	0	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	1
ARGM-ADV	1	5	0	13	0	0	0	0	1	247	0	0	0	0	8	3	0	6	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	1
